rank,name,verdict
86,uvicorn,
115,hatchling,
820,userpath,
1043,hatch-vcs,
1085,hatch,
1257,inputimeout,
1316,openxlab,
1529,scikit-build-core,
1530,pinecone-plugin-interface,
1925,aws-cdk-asset-node-proxy-agent-v6,
2062,safety-schemas,
2181,sphinxcontrib-httpdomain,
2343,django-allauth,
2518,boa-str,
2745,coincurve,
2985,granian,
3084,redlock-py,
3159,polling,
3225,python3-xlib,
3268,requests-sigv4,
3336,latex2sympy2-extended,
3394,hypothesis-jsonschema,
3820,sagemaker-schema-inference-artifacts,
4035,paypalrestsdk,
4172,paypal-checkout-serversdk,
4233,waiting,
4420,maison,
4440,pandas-ta,
4517,types-sqlalchemy-utils,
4629,mmhash3,
4657,sagemaker-data-insights,
4816,boto-session-manager,
4832,dbt-vertica,
4850,cmakelang,
4980,ocspresponder,
5043,elasticsearch8,
5169,core-universal,
5222,deepface,
5223,spotinst-agent,
5484,nr-stream,
5651,config-parser,
6000,bpyutils,
6075,pyyml,
6162,pycountry-convert,
6314,tinsel,
6444,authentik-client,
6661,ip2location,
6731,requests-ntlm3,
6766,python-sonarqube-api,
6795,cmake-format,
6972,qpd,
7024,awscli-plugin-s3-proxy,
7160,clarifai-protocol,
7238,json-logic-qubit,
7274,junit-xml-2,
7446,grpc-gateway-protoc-gen-openapiv2,
7543,pymysqllock,
7563,google-oauth,
7582,qwen-tts,
7624,orion-py-client,
7636,advanced-alchemy,
7701,retina-face,
7758,spotinst-agent-2,
7885,torch-complex,
8011,libify,
8123,py-redis,
8131,statsd-tags,
8280,metal-sdk,
8444,clip-benchmark,
8588,carelytics,
8774,lightphe,
8813,lightning-fabric,
8816,lightecc,
8821,getname,
8868,scim2-models,
8891,pyrtf3,
8909,sqlite3-api,
8946,flask-orjson,
8983,regscale-python-ssp,
9329,bridgecrew,
9331,linkedin-api,
9342,pyfunceble-dev,
9398,huggingface,
9420,flask-swagger,
9495,aot-biomaps,
9546,scim2-server,
9655,beaker-py,
9867,pephubclient,
9876,esp-bool-parser,
9951,pysingleton,
9981,lumigo-core,
10002,flashy,
10100,mosaicml-cli,
10129,prophecy-libs,
10183,codeflash-benchmark,
10284,certbot-dns-eurodns,
10373,langchain-databricks,
10374,epik8s-tools,
10440,wallet-py3k,
10550,eventregistry,
10764,lightdsa,
10774,bithuman,
10780,momentchi2,
10895,qwen-asr,
10898,socketdev,
10958,always-updates,
10974,wrapper-tls-requests,
11015,s3urls,
11128,haystack-pydoc-tools,
11129,running-process,
11140,locales,
11152,dependencies,
11348,skope-rules,
11354,lunary,
11397,cloudsearch,
11562,para,
11628,hatch-mypyc,
11693,novu,
11747,static,
11892,bunch-py3,
12021,infisical-python,
12071,capsolver,
12084,pytest-async,
12164,molecule-multipass,
12566,timeoutcontext,
12613,eval-protocol,
12711,jhi-databricksenvironment,
12786,pytest-textual-snapshot,
12806,parameter-expansion-patched,
13025,moose-cli,
13097,axial-positional-embedding,
13099,teradatamodelops,
13110,reward-kit,
13135,flake8-no-unnecessary-fstrings,
13187,aiologger,
13388,os-sys,
13574,telegram,
13690,markdown-it-reporter,
13738,dedupe-variable-datetime,
13739,memoized-property,
13778,django-memoize,
13854,sarvamai,
13911,pulpcore-client,
14011,ixnetwork,
14226,python-geoip-python3,
14266,pycausalimpact,
14440,sqlescapy,
14463,chunkr-ai,
14502,fake-headers,
14535,meutils,
14626,alerta,
14731,dummy-notebookutils,
14790,blender-mcp,
14873,nsj-rest-lib2,
14952,legit-api-client,
14958,fastapi-shell,
